bucket	score	src_line	src_heading	src_text	best_tgt_line	best_tgt_text
overlap	0.76	186	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	the flush happens relative to the transaction.	944	relative to the transaction.
duplicated	0.93	188	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	Worse, appender.jl:56 registers a finalizer. An appender abandoned on an error	946	Worse, appender.jl:56 registers a finalizer, so an appender abandoned on an error path
duplicated	0.94	189	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	path is closed by the GC, at an arbitrary later time:	947	is closed by the GC at an arbitrary later time:
overlap	0.52	197	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	Mitigation, measured to hold: keep the appender's entire lifetime inside the	1186	<append + flush>; COMMIT, with the appender's whole lifetime inside the transaction
unique	0.50	198	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	transaction body, with try/finally guaranteeing close() runs before the	955	Mitigation: the try/finally pattern in
unique	0.49	199	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	transaction unwinds. The flush then lands while the transaction is still open, so	1186	<append + flush>; COMMIT, with the appender's whole lifetime inside the transaction
unique	0.42	200	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	the rollback discards it (measured: 0 rows).	987	threshold, so it is underpowered, not a refutation.
overlap	0.55	213	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	Generated code must never let an Appender outlive the transaction body — the	114	- an Appender that outlives its transaction body (rows leak past a rollback)
unique	0.49	214	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	failure is silent, delayed, and does not reproduce reliably under test.	81	Six confirmed driver defects and one engine trap, all reproducible:
short	0.00	216	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	---		
overlap	0.69	220	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	Script: verifystructarrayregister.jl	538	immediately and loudly (verifystructarrayregister.jl).
unique	0.44	222	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	Question. Does the Tables.jl route accept a StructArray, and where does it	584	> the StructArray already held.
unique	0.44	223	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	stop? This underpins the spike's path E (register the struct's leaf fields as	77	More Julia threads did not help any path. The registered scan — the fastest path —
overlap	0.66	224	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	flat columns, reassemble the struct in SQL).	593	Register the struct's leaf fields as flat columns and reassemble the struct in SQL.
unique	0.45	226	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	VERDICT: flat StructArrays work and registration is genuinely alias-based;	573	StructArrays.components(sa) — no copies at registration
unique	0.45	227	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	nested/rich field types are rejected — but earlier than the study said.	1463	registers fine and DuckDB casts on insert (§4.1). This is better than the source
short	0.00	229	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	Case | Result		
unique	0.36	231	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	flat StructArray(id::Int32, name::String, score::Float64) | registers, selects, and INSERT INTO … SELECT writes 3 rows	573	StructArrays.components(sa) — no copies at registration
unique	0.42	232	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	nullable field Union{Missing,Int32} | works — tablescan.jl:19 strips Missing before building the logical type	435	Vector{Int32} and Vector{Union{Missing,Int32}} are different concrete types, so a
unique	0.45	233	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	nested field (loc::StructArray(x,y), column eltype @NamedTuple{x,y}) | Binder Error: Unsupported type for createlogicaltype	533	throws NotImplementedException("Unsupported type for createlogicaltype")
overlap	0.60	234	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	UUID field | Binder Error: Unsupported type for createlogicaltype	533	throws NotImplementedException("Unsupported type for createlogicaltype")
overlap	0.60	235	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	list field Vector{Int32} | Binder Error: Unsupported type for createlogicaltype	533	throws NotImplementedException("Unsupported type for createlogicaltype")
unique	0.48	237	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	Rejections match logicaltype.jl:64-66 exactly — the coverage list at	536	Rejection happens at registertable, not at query time — the call creates a view
overlap	0.55	238	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable	logicaltype.jl:28-62 is the real boundary.	534	(logicaltype.jl:64-66).
overlap	0.62	242	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	Study §3c states failure "occurs at query bind time, not at registration".	1517	§3c — registered-table failure "occurs at query bind time, not at registration" | Wrong. The throw comes out of register
unique	0.48	243	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	Measured: the throw comes out of DuckDB.registertable itself. The reason is	1517	§3c — registered-table failure "occurs at query bind time, not at registration" | Wrong. The throw comes out of register
overlap	0.51	244	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	mechanical — registertable creates a view over juliatblscan	536	Rejection happens at registertable, not at query time — the call creates a view
overlap	0.65	245	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	(tablescan.jl:201-205), and DuckDB binds the table function while creating the	537	and DuckDB binds the table function while creating it, so an unsupported type surfaces
unique	0.46	246	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	view, hence a Binder Error surfacing from the registration call. The study's	1226	carry a driver file:line or measured reason, except the 9 registerflat cells per
unique	0.46	247	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	description of the mechanism (bind-time type resolution) is right; its	126	Every claim in this document is a claim about this exact resolution.
unique	0.44	248	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	description of when you observe it is wrong.	39	- Appendix A — corrections to the source notes
unique	0.49	250	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	This is good news for codegen: unsupported column types are caught at	1371	and the loudest — unsupported types are rejected at registertable, whereas
unique	0.44	251	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4b. Correction to the driver study	registration, not deferred to some later query.	644	other AbstractFloat | widened to Float64 | statement.jl:46
overlap	0.60	255	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4c. Registration is alias-based (measured), the scan is not	registertable stores columntable(tbl) (tablescan.jl:201). Measured with	522	registertable(conordb, tbl, name) stores columntable(tbl) in
duplicated	0.95	256	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4c. Registration is alias-based (measured), the scan is not	=== identity, Tables.columntable(sa) returns the very same array objects	572	identity, Tables.columntable(sa) returns the very same array objects as
overlap	0.70	257	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4c. Registration is alias-based (measured), the scan is not	as StructArrays.components(sa) for all three fields — no copies. That is the	573	StructArrays.components(sa) — no copies at registration
unique	0.44	258	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4c. Registration is alias-based (measured), the scan is not	performance argument for the flatten-and-reassemble tier, and it holds.	593	Register the struct's leaf fields as flat columns and reassemble the struct in SQL.
unique	0.42	260	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4c. Registration is alias-based (measured), the scan is not	Do not overstate it: zero-copy applies to registration only. Each query	1150	so filing remains available later at no re-investigation cost, and every one has a
unique	0.49	261	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4c. Registration is alias-based (measured), the scan is not	over the view still copies values element-by-element into DuckDB vectors	575	element-by-element into DuckDB vectors (tablescan.jl:49-56, 59-79). The docs' "Note
unique	0.48	262	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4c. Registration is alias-based (measured), the scan is not	(tablescan.jl:49-56, 59-79). Phase 2 benchmarks measure that cost.	811	(result.jl:711-740, 686-708, 26-30). This was not benchmarked: the sweep's four
overlap	0.68	266	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4d. The path-E workaround, measured end to end	Registering the leaf fields flat and reassembling in SQL works:	593	Register the struct's leaf fields as flat columns and reassemble the struct in SQL.
unique	0.42	272	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4d. The path-E workaround, measured end to end	2 rows written; first row reads back as (x = 1.0, y = 3.0). Confirms the	47	know what a DuckDB type reads back as in Julia | §3.5
overlap	0.58	273	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4d. The path-E workaround, measured end to end	spike's path E for struct columns whose leaves are all registerable types.	1365	2 | registerflat | as tier 1, plus STRUCT columns whose leaves are all tier-1 types | —
short	0.00	275	DuckDB.jl 1.5.2 — phase 1 verification findings > 4. StructArray through registertable > 4d. The path-E workaround, measured end to end	---		
unique	0.49	279	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	# | Open behavior | Verdict	158	behaviour changed.
unique	0.47	281	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	1 | appender BLOB (spike ERR vs. study "wired") | both right — wired but broken by Ref{Cvoid} at api.jl:7261; use prepared bind	1529	§2 matrix — appender × blob = ERR | Correct, and now explained: Ref{Cvoid} at api.jl:7261, not a missing capability (§5.
overlap	0.73	282	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	2 | appender VARCHAR→ENUM cast | confirmed working; invalid/wrong-case labels silently lost, and a failed cell misaligns later columns	1515	§3a / gotcha 12 — appender VARCHAR→ENUM cast, Inferred | Measured true. The important half is new: invalid and wrong-cas
overlap	0.66	283	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	3 | appender flush inside a transaction | confirmed for flushed rows; unflushed rows escape the txn and can leak at GC time	1516	§5 — appender flush participates in the transaction, Inferred | Measured true for flushed rows. New: buffered rows escap
unique	0.40	284	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	4 | StructArray via registertable | works for flat/nullable primitives, alias-based; rejects nested/UUID/list at registration, not at query	1517	§3c — registered-table failure "occurs at query bind time, not at registration" | Wrong. The throw comes out of register
unique	0.44	286	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	Corrections this phase makes to the driver study (notes/20260725-1007):	39	- Appendix A — corrections to the source notes
overlap	0.50	288	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	- §3a "blob: duckdbappendblob" — present but unusable; add to the gotcha	83	1. duckdbappendblob is unusable from Julia — wrong argument type in the
short	0.00	289	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	list as a driver bug.		
unique	0.49	290	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	- §3a / gotcha 12 "enum cast — Inferred" — now measured true, with a new,	1250	around 1M appends; they were not measured to crash at 10k.
unique	0.43	291	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	more serious sub-finding (column misalignment) attached.	1372	appender failures are silent and misalign data.
overlap	0.54	292	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	- §5 "flush participates in the transaction — Inferred" — now measured	929	Flushed rows do participate in the connection's transaction
unique	0.43	293	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	true, with the buffered-rows leak as a new gotcha.	47	know what a DuckDB type reads back as in Julia | §3.5
overlap	0.60	294	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	- §3c "failure at bind time, not at registration" — wrong; the throw surfaces	1517	§3c — registered-table failure "occurs at query bind time, not at registration" | Wrong. The throw comes out of register
short	0.00	295	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	from registertable.		
short	0.00	297	DuckDB.jl 1.5.2 — phase 1 verification findings > Phase 1 summary	---		
duplicated	0.81	301	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	Script: verifylistappendergc.jl	968	(verifylistappendergc.jl).
unique	0.43	303	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	Not a planned verification — found when the phase-2 benchmark harness died while	1500	bench.jl, runall.jl, runsweep.sh | the benchmark harness
overlap	0.57	304	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	timing the list/appender cell.	968	(verifylistappendergc.jl).
unique	0.49	306	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	VERDICT: the appender's LIST path works, then takes the whole process down. It	112	- appender for a LIST column (segfaults the process)
unique	0.44	307	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	must not be emitted by codegen.	9	itemises every override.
short	0.00	309	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	Mode | Result		
duplicated	1.00	311	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	appender + LIST, GC left to fire naturally | SIGSEGV, reproducibly, at 1.0–1.2M list appends	963	appender + LIST, GC left to fire naturally | SIGSEGV, reproducibly, at 1.0–1.2M list appends
duplicated	0.94	312	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	prepared-statement bind + LIST (same createvalue) | survived 4,000,000 list values	964	prepared bind + LIST (same createvalue) | survived 4,000,000 list values
overlap	0.50	314	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	Crash sites observed inside libduckdb:	966	Crash sites inside libduckdb: LogicalType::LogicalType(LogicalType const&) and
overlap	0.62	315	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	LogicalType::LogicalType(LogicalType const&) and StructType::GetChildTypes —	966	Crash sites inside libduckdb: LogicalType::LogicalType(LogicalType const&) and
overlap	0.76	316	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	a LogicalType read after it is no longer valid.	967	StructType::GetChildTypes — a LogicalType read after it is no longer valid
duplicated	0.86	318	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	This is strictly worse than a missing capability. The spike and the study both	970	This is worse than a missing capability. The spike and the study both recorded list
overlap	0.77	319	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	recorded list appends as working (appender.jl:106-114), and they do — at the	971	appends as working (appender.jl:106-114), and they do at the scales anyone tests
overlap	0.72	320	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	scales anyone tests interactively. The failure needs roughly a million appends,	972	interactively; the failure needs roughly a million appends, which is exactly the
unique	0.47	321	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	which is exactly the bulk-load case dbdict codegen would generate.	1349	§8.1, which is the single place tier selection is stated.
overlap	0.50	323	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	Consequence for codegen. LIST columns must use the prepared bind or the	112	- appender for a LIST column (segfaults the process)
overlap	0.59	324	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	literal path, never the appender. Because the process dies, no amount of	973	bulk-load case codegen generates. Because the process dies, no amount of row-count or
duplicated	0.89	325	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2)	row-count or error checking in generated code can recover from it.	974	error checking in generated code can recover from it.
unique	0.45	329	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	Recorded so the next person does not repeat them:	379	(convertvectorarray), but that symbol does not appear anywhere in the installed
duplicated	1.00	331	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	- H1 — GC finalizes type/values during the ccall. value.jl:52-56 reads	978	- H1 — GC finalizes type/values during the ccall. value.jl:52-56 reads
duplicated	0.89	332	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	type.handle plus each child handle and passes them to	979	type.handle plus each child handle and passes them to duckdbcreatelistvalue
overlap	0.63	333	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	duckdbcreatelistvalue with no GC.@preserve; both are finalizer-owned	980	with no GC.@preserve; both are finalizer-owned (logicaltype.jl:10, value.jl:9).
unique	0.46	334	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	(logicaltype.jl:10, value.jl:9). Tested: forcing GC.gc() between	985	survives (execute consumes the value before returning). Tested: forcing GC while
overlap	0.59	335	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	batches, and disabling the GC entirely. Both survived — but both arms were	981	Tested: forcing GC.gc() between batches, and disabling the GC entirely. Both
overlap	0.65	336	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	uninformative: a forced collection at a safe point cannot exercise a race	982	survived — but both arms were uninformative: a forced collection at a safe point
overlap	0.77	337	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	inside a ccall, and disabling the GC removes finalizers altogether.	983	cannot exercise a race inside a ccall, and disabling the GC removes finalizers.
duplicated	0.81	338	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	- H2 — the appender retains the duckdbvalue past append while Julia	984	- H2 — the appender retains the duckdbvalue past append. Would explain why bind
unique	0.44	339	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	destroys it at scope exit. Would explain why bind survives (execute consumes	581	> it stores one plain array per field and synthesizes the struct on access, so
overlap	0.52	340	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	the value before returning) and the appender does not. Tested: midbatch	985	survives (execute consumes the value before returning). Tested: forcing GC while
overlap	0.55	341	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	mode forces GC while rows are still buffered, pre-flush. Survived — but that	986	rows are still buffered. Survived — but that run performed 40k appends against a 1M
overlap	0.50	342	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	run performed only 40k appends against a 1M crash threshold, so it is	986	rows are still buffered. Survived — but that run performed 40k appends against a 1M
overlap	0.76	343	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	underpowered, not a refutation.	987	threshold, so it is underpowered, not a refutation.
overlap	0.62	345	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	Isolating the true cause means C++-level debugging of libduckdb, which	989	Root-causing needs C++-level debugging of libduckdb, which goal.md puts out of scope.
unique	0.41	346	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	goal.md puts out of scope ("out: … patching DuckDB.jl itself"). The measured	159	- a DuckDBjll bump without a DuckDB.jl release — possible given the compat bound
overlap	0.51	347	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	behaviour and its codegen consequence are the deliverable here.	1371	and the loudest — unsupported types are rejected at registertable, whereas
unique	0.45	349	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	> Upstream-issue candidate, and the strongest of the four: a supported API that	1087	bug, so it is not an upstream candidate for the driver — but every generated SQL writer
overlap	0.55	350	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	> segfaults under ordinary bulk use, with a working alternative (bind) sharing	1156	1 | LIST append segfaults (§5.1.4) | A supported API kills the process under ordinary bulk use, and a working alternativ
overlap	0.56	351	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	> the same createvalue code path.	595	the literal path.
overlap	0.58	353	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	Benchmark impact. The list/appender cell is excluded from the suite via	1489	verifylistappendergc.jl is excluded from automated runs: its natural mode
overlap	0.56	354	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	skipreason in benchcommon.jl, with the crash as its stated reason, so	814	statement (benchcommon.jl:225), not per-row. Treat the ranking as reasoning, not
overlap	0.52	355	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	results.md reports it as an explicit exclusion rather than a blank.	925	appender creation would report a pointer rather than a message.
short	0.00	357	DuckDB.jl 1.5.2 — phase 1 verification findings > 5. Appender + LIST segfaults the process (discovered in phase 2) > 5b. Hypotheses tested and NOT confirmed	---		
overlap	0.50	361	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Script: benchcommon.jl (sqllit), caught by its own content gate	799	The working serializer lives in benchcommon.jl (sqllit); reuse it rather than
overlap	0.56	363	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Also unplanned. The benchmark harness's content check failed at	1043	Caught by the benchmark harness's content gate at flat / 1M / literal:
short	0.00	364	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	flat / 1M / literal:		
overlap	0.58	371	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	VERDICT: a bare decimal literal is parsed by DuckDB as DECIMAL, not DOUBLE, and	98	7. (DuckDB engine, not the driver) A bare decimal literal is parsed as DECIMAL, so
unique	0.42	372	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	the round-trip through DECIMAL costs one ULP. An explicit ::DOUBLE cast does	99	generated literal SQL silently loses 1 ULP on DOUBLE — and ::DOUBLE does not
short	0.00	373	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	not fix it.		
unique	0.39	375	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Measured, inserting the Float64 0.11914626526441173:	1180	§3.1 for the measured isolation. The docs
unique	0.40	377	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Literal form | Reads back as | Exact?	47	know what a DuckDB type reads back as in Julia | §3.5
unique	0.37	379	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	0.11914626526441173 | FixedDecimal{Int64,17} | no — it is not even a DOUBLE	1396	11 | an over-precision FixedDecimal | round to the column's scale first | silently rounded (§4.5)
unique	0.37	380	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	0.11914626526441173::DOUBLE | Float64 | no — 1 ULP low	343	FLOAT / DOUBLE | Float32 / Float64 | ctypes.jl:395-396
unique	0.47	381	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	%.17g digits, bare | FixedDecimal{Int64,17} | no	531	Date, Time, DateTime, FixedDecimal{Int16|32|64|128,s}. Everything else —
unique	0.42	382	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	%.17g digits + ::DOUBLE | Float64 | no — 1 ULP low	343	FLOAT / DOUBLE | Float32 / Float64 | ctypes.jl:395-396
unique	0.34	383	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	1.19146265264411730e-01 (exponent form) | Float64 | yes	1100	ulpdelta = -1; the exponent form is exact. List literals behave identically
unique	0.44	384	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	'0.11914626526441173'::DOUBLE (quoted) | Float64 | yes	343	FLOAT / DOUBLE | Float32 / Float64 | ctypes.jl:395-396
overlap	0.59	386	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	The cast does not help because the literal is parsed as DECIMAL(,17) first	1050	The literal is parsed as DECIMAL(18,17) first and only then converted; 17
overlap	0.66	387	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	and only then converted; 17 fractional digits cannot uniquely identify a Float64.	1051	fractional digits cannot uniquely identify a Float64, so ::DOUBLE does not help.
overlap	0.73	388	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Adding more digits does not help for the same reason — the problem is the type	1052	Adding digits does not help either — the problem is the type the parser chooses.
overlap	0.53	389	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	the parser chooses, not the precision written.	1360	Take the first tier whose precondition holds.
unique	0.48	391	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Fix applied in sqllit(::AbstractFloat): emit @sprintf("%.17e", v).	794	1. Floats must be emitted in exponent notation — @sprintf("%.17e", v) (§5.2.1).
